section,number,title,crn,cap,enrl,avail,instructor_last,instructor_first,dates,restrictions,prerequisites,delivery,days,start,end,building,room,credits,fee,fee_type
ACCT,240,Financial Accounting,20001,57,56,1,Dolar,Burak,04/02-06/14,OV,,Face-to-Face,MW,1000.0,1150.0,E,S,1,,00 	4
ACCT,240,Financial Accounting,20004,57,54,3,Singleton,Ron,04/02-06/14,OV,,Face-to-Face,MW,1400.0,1550.0,P,H,2,,28 	4
ACCT,240,Financial Accounting,20156,57,56,1,Chen,Hanmei,04/02-06/14,OV,,Face-to-Face,TR,1400.0,1550.0,S,L,1,,40 	4
ACCT,240,Financial Accounting,20348,57,55,2,Hao,Yamin,04/02-06/14,OV,,Face-to-Face,TR,1000.0,1150.0,A,H,0,,04 	4
ACCT,245,Managerial Accounting,20002,57,56,1,Dales,Ryan,04/02-06/14,OV,ACCT 240 New Room,Face-to-Face,TR,1000.0,1150.0,C,F,1,,20 	4
ACCT,245,Managerial Accounting,20157,57,56,1,Mann,Ann Renee,04/02-06/14,OV,ACCT 240 New Time New Room,Face-to-Face,TR,1200.0,1350.0,C,F,1,,20 	4
ACCT,245,Managerial Accounting,20285,57,57,0,Dales,Ryan,04/02-06/14,OV,ACCT 240 New Time,Face-to-Face,MW,1200.0,1350.0,E,S,4,,13 	4
ACCT,321,Accounting Info Systems I,22100,35,25,10,Drum,Dawna Marie,04/02-06/14,MJ OV,"Majors only. ACCT 245, MIS 220 or equivalent skills",Face-to-Face WP1,MW,1000.0,1150.0,P,H,2,,10 	4
ACCT,331,Cost Management,20158,35,16,19,Dales,Ryan,04/02-06/14,MJ OV,"Majors only. ACCT 245, DSCI 205, MIS 220 or equivalent skills.",Face-to-Face,TR,1400.0,1550.0,E,S,0,,80 	4
ACCT,331,Cost Management,20236,35,32,3,Dales,Ryan,04/02-06/14,MJ OV,"Majors only. ACCT 245, DSCI 205, MIS 220 or equivalent skills.",Face-to-Face,TR,1200.0,1350.0,E,S,0,,80 	4
ACCT,341,Intermed Acct Theory and Prac,20005,35,33,2,Li,Shuo,04/02-06/14,MJ OV,Majors Only. ACCT 245,Face-to-Face,MW,1200.0,1350.0,A,W,2,,05 	4
ACCT,342,Intermed Theory & Practice II,20006,35,28,7,Chen,Hanmei,04/02-06/14,MJ OV,Majors Only. ACCT 341,Face-to-Face,TR,1000.0,1150.0,A,H,0,,30 	4
ACCT,343,Intermed Acct III,20552,35,36,-1,Moore,Jared Allen,04/02-06/14,MJ OV,Majors Only. ACCT 342 New Room,Face-to-Face WP1,TR,1000.0,1150.0,C,V,1,,04 	4
ACCT,375,Taxation and Business Decision,20007,35,21,14,Moore,Jared Allen,04/02-06/14,MJ OV,Majors only; ACCT 240.,Face-to-Face WP1,TR,1400.0,1550.0,A,W,2,,05 	4
ACCT,422,Enterprise Systems Accountants,23688,18,16,2,Drum,Dawna Marie,04/02-06/14,MJ OV,ACCT 321,Face-to-Face,MW,800.0,950.0,P,H,0,,47 	4
ACCT,447,Not-For-Profit Organizations,21230,18,17,1,Taylor,Audrey G.,04/02-06/14,MJ OV,Majors Only. ACCT 343 or concurrent.,Face-to-Face,TR,1200.0,1350.0,A,W,3,,04 	4
ACCT,451,International Accounting,23689,18,18,0,Li,Shuo,04/02-06/14,MJ OV,Majors Only. ACCT 343,Face-to-Face,MW,1400.0,1550.0,C,V,1,,03 	4
ACCT,461,Auditing Theory & Practice,20553,24,24,0,Hao,Yamin,04/02-06/14,MJ OV,"Majors Only. ACCT 321, ACCT 343",Face-to-Face,TR,1400.0,1550.0,I,S,2,,42 	4
ACCT,466,Fraud Exam & Forensic Acctg,21656,18,11,7,Liu,Zander,04/02-06/14,MJ OV,"Majors only. ACCT 321, ACCT 343 and ACCT 461.",Face-to-Face,TR,1000.0,1150.0,M,H,0,,13 	4
ACCT,470,Law of Commcl Transactions I,20159,30,10,20,Majumdar,Rajeev D.,04/02-06/14,MJ OV,Majors Only. MGMT 271,Face-to-Face WP1,TR,1600.0,1750.0,I,S,2,,44 	4
ACCT,475,Income Taxation II,22365,18,9,9,Singleton,Ron,04/02-06/14,MJ OV,Majors Only. ACCT 375,Face-to-Face,MW,1000.0,1150.0,A,W,2,,05 	4
ACCT,490,Internship in Accounting,20284,10,0,10,Taylor,Audrey G.,04/02-06/14,MJ OV,Majors Only. ACCT 341; minimum 2.75 GPA in 300/400-level accounting courses,,,,,,,,,
ACCT,490,Internship in Accounting,20373,10,0,10,Taylor,Audrey G.,04/02-06/14,MJ OV,Majors Only. ACCT 341; minimum 2.75 GPA in 300/400-level accounting courses,,,,,,,,,
ACCT,491,Accounting Internship,23075,20,2,18,Smith,Steve,04/02-06/14,GR MJ GR OV,"Admission to AHE program or permission of instructor. Meets as scheduled and arranged. Course begins with a F2F group meeting on Saturday, April 6th from 12-5pm. Second F2F group meeting will be on Saturday, June 8th. American Cultural Studies Class GUR/Course Attributes	Title Time	Crn Location	Cap	Enrl	Avail	Instructor Credits	Dates Addl Chrgs",,,1200.0,1650.0,A,W,2,,03 	4
AMST,204,Intro African American Studies,23130,30,30,0,Sisay,Brukab,04/02-06/14,OV,,Online DELIVERY Online-Synchronous,MW,1000.0,1150.0,ONLINE,SYNC,4,$3.00,Flat Fee
AMST,242,Lesbian/Gay Bisex Experience,21484,30,28,2,Roebuck,Christopher William,04/02-06/14,OV,,Online DELIVERY Online-Synchronous,TR,1600.0,1750.0,ONLINE,SYNC,4,,
AMST,301,Comparative Cultural Studies,22454,30,28,2,Wells,Mo,04/02-06/14,OV,"Introductory-level course: HIST, SOC, ANTH or equivalent;",Face-to-Face,TR,900.0,1050.0,B,H,2,,25 	4
AMST,301,Comparative Cultural Studies,23910,30,29,1,Sisay,Brukab,04/02-06/14,OV,"Introductory-level course: HIST, SOC, ANTH or equivalent;",Online DELIVERY Online-Synchronous,MW,1300.0,1450.0,ONLINE,SYNC,4,,
AMST,314,Latinx Migrants in the U.S.,23921,20,7,13,Morales Mendez,Marco Antonio,04/02-06/14,OV,AMST 203 or AMST 301,Face-to-Face,MW,1700.0,1850.0,A,W,2,,05 	4
AMST,318,Contemp Arab American Studies,23791,12,11,1,Elia,Nada,04/02-06/14,OV,AMST 252 or AMST 301; or instructor permission.,Face-to-Face,MW,1500.0,1650.0,F,A,3,,26 	4
AMST,397D,"Policing,Incarceration,Aboliti",23706,30,30,0,Elia,Nada,04/02-06/14,OV,,Face-to-Face,MW,1200.0,1350.0,A,W,4,,06 	4
AMST,397I,Indigenous Feminisms,23708,30,16,14,Wells,Mo,04/02-06/14,OV,AMST 202 or AMST 301 or equivalent; or instructor permission,Face-to-Face,TR,1200.0,1350.0,M,H,1,,54 	4
AMST,410,Adv. Critical Race Feminisms,23138,15,7,8,Spira,Tamara Lea,04/02-06/14,OV,"One of: AMST 242, AMST 301 or AMST 317 or instructor permission. American Sign Lang & Culture Class GUR/Course Attributes	Title Time	Crn Location	Cap	Enrl	Avail	Instructor Credits	Dates Addl Chrgs",Face-to-Face,MW,1500.0,1650.0,A,W,4,,05 	4
ASLC,101,Elementary ASL/Culture,23611,25,24,1,Boyd,Linda Sue,04/02-06/14,OV,,Hybrid,M,1300.0,1520.0,M,H,0,,38 	5
ASLC,101,Elementary ASL/Culture,23612,25,25,0,Boyd,Linda Sue,04/02-06/14,OV,,Hybrid,M,1300.0,1520.0,M,H,0,,38 	5
ASLC,102,Elementary ASL II,23613,25,22,3,Boyd,Linda Sue,04/02-06/14,OV,ASLC 101 or instructor permission.,Hybrid,M,1630.0,1850.0,M,H,0,,15 	5
ASLC,103,Elementary ASL III,23617,25,8,17,Boyd,Linda Sue,04/02-06/14,OV,ASLC 102 or instructor permission. Anthropology Class GUR/Course Attributes	Title Time	Crn Location	Cap	Enrl	Avail	Instructor Credits	Dates Addl Chrgs,Hybrid,T,1300.0,1520.0,M,H,0,,38 	5
ANTH,102,Introduction to Human Origins,20428,180,178,2,Rollins,Alyson Marie,04/02-06/14,OV,New Room,Face-to-Face SSC,MWF,2330.0,2450.0,F,R,1,,02 	5
ANTH,102,Introduction to Human Origins,22769,25,23,2,Rollins,Alyson Marie,04/02-06/14,OV,Self-Sustaining tuition is $298 per credit which is not included in 10-18 credit tuition costs.,,,,,,,,,
ANTH,201,Intro to Cultural Anthropology,20249,180,179,1,Shepard,Michael Andrew,04/02-06/14,OV,,Face-to-Face SSC,MWF,1300.0,1420.0,M,H,1,,38 	5
ANTH,201,Intro to Cultural Anthropology,21466,180,123,57,Bocast,Brooke Schwartz,04/02-06/14,OV,New Time,Face-to-Face SSC,MWF,1600.0,1720.0,M,H,1,,38 	5
ANTH,201,Intro to Cultural Anthropology,23261,25,25,0,Shepard,Michael Andrew,04/02-06/14,OV,Self-Sustaining tuition is $298 per credit which is not included in 10-18 credit tuition costs.,,,,,,,,,
ANTH,210,Introduction to Archaeology,20526,80,82,-2,Ek,Jerald David,04/02-06/14,OV,,Face-to-Face SSC,MWF,2330.0,2450.0,A,H,0,,04 	5
ANTH,215,Intro Biological Anthro w/lab,20657,27,27,0,Brasil,Marianne Fatima,04/02-06/14,OV,No labs first week of class,Face-to-Face LSCI,M,1000.0,1150.0,AH,314,0,,04 	5
ANTH,215,Intro Biological Anthro w/lab,20658,27,27,0,Brasil,Marianne Fatima,04/02-06/14,OV,No labs first week of class,Face-to-Face LSCI,W,1000.0,1150.0,AH,314,0,,04 	5
ANTH,215,Intro Biological Anthro w/lab,20659,26,26,0,Brasil,Marianne Fatima,04/02-06/14,OV,No labs first week of class,Face-to-Face LSCI,F,1000.0,1150.0,AH,314,0,,04 	5
ANTH,301,Anthropological Theory,22510,35,34,1,Shepard,Michael Andrew,04/02-06/14,OV,ANTH 201 or HNRS 203.,Face-to-Face,MWF,830.0,950.0,I,S,3,,10 	5
