CODE,TERM,CRN,TITLE,PROFESSOR,Students enrolled,Grade count,CNT_A,CNT_AM,CNT_BP,CNT_B,CNT_BM,CNT_CP,CNT_C,CNT_CM,CNT_DP,CNT_D,CNT_DM,CNT_F,CNT_W
ACCT 240,201910,11641,Financial Accounting,Alecia Buonocore-Elvstad,15,14,2,1,1,1,1,0,0,0,1,0,0,4,3
ACCT 240,201910,10005,Financial Accounting,Thomas Dales,64,63,2,3,7,8,7,6,7,2,2,0,4,8,7
ACCT 240,201910,10001,Financial Accounting,Thomas Dales,59,58,4,2,6,2,4,10,4,9,1,1,1,8,6
ACCT 240,201910,10477,Financial Accounting,Yamin Hao,65,65,11,4,8,15,10,8,5,2,0,1,0,1,0
ACCT 240,201910,10006,Financial Accounting,Yamin Hao,67,66,16,10,5,3,6,6,5,3,0,8,0,1,3
ACCT 240,201920,21613,Financial Accounting,Alecia Buonocore-Elvstad,24,24,5,1,1,3,2,0,2,0,0,1,1,6,2
ACCT 240,201920,20001,Financial Accounting,Shuo Li,67,67,21,9,10,6,5,3,6,3,0,1,0,3,0
ACCT 240,201920,20465,Financial Accounting,Thomas Dales,52,51,3,7,5,1,5,6,2,7,0,1,1,11,2
ACCT 240,201920,20199,Financial Accounting,Yamin Hao,66,66,9,7,7,6,7,4,10,3,0,9,0,1,3
ACCT 240,201920,20004,Financial Accounting,Yamin Hao,65,64,12,6,8,6,9,5,8,2,0,3,0,4,1
ACCT 240,201930,30441,Financial Accounting,Alecia Buonocore-Elvstad,20,20,6,0,2,1,2,0,1,2,0,0,0,6,0
ACCT 240,201940,40006,Financial Accounting,Burak Dolar,67,67,4,2,1,8,6,6,6,7,3,7,2,11,4
ACCT 240,201940,40003,Financial Accounting,Thomas Dales,57,56,5,5,3,8,5,6,4,1,0,2,5,7,5
ACCT 240,201940,40007,Financial Accounting,Yamin Hao,67,66,12,8,7,9,5,3,9,2,0,8,0,1,2
ACCT 240,201940,41002,Financial Accounting,Yamin Hao,66,66,5,5,12,5,12,6,9,7,0,3,0,1,1
ACCT 240,202010,11538,Financial Accounting,Alecia Buonocore-Elvstad,23,20,4,2,0,3,0,0,2,0,1,0,0,4,4
ACCT 240,202010,10443,Financial Accounting,Burak Dolar,67,67,7,4,6,11,11,11,4,5,2,2,0,4,0
ACCT 240,202010,10006,Financial Accounting,Jared Moore,67,65,16,5,4,8,9,4,4,5,0,4,0,6,0
ACCT 240,202010,10001,Financial Accounting,Jared Moore,67,67,13,2,4,13,3,4,11,2,0,6,0,5,4
ACCT 240,202010,10005,Financial Accounting,Thomas Dales,67,65,4,11,4,9,5,6,5,7,3,2,1,4,4
ACCT 240,202020,21502,Financial Accounting,Alecia Buonocore-Elvstad,15,7,4,0,0,0,0,0,0,0,0,0,0,0,3
ACCT 240,202020,20186,Financial Accounting,Burak Dolar,59,22,4,7,4,2,0,1,1,0,0,0,0,0,3
ACCT 240,202020,20001,Financial Accounting,Jared Moore,60,25,7,3,4,4,3,2,0,0,0,0,0,0,2
ACCT 240,202020,20004,Financial Accounting,Thomas Dales,57,34,6,10,5,4,4,2,1,1,0,0,0,0,1
ACCT 240,202020,20437,Financial Accounting,Thomas Dales,59,31,12,6,4,4,4,1,0,0,0,0,0,0,0
ACCT 240,202030,30406,Financial Accounting,Zenghui Liu,34,22,6,7,6,0,1,0,2,0,0,0,0,0,0
ACCT 240,202040,40004,Financial Accounting,Burak Dolar,59,52,6,10,9,6,4,3,3,3,0,2,3,3,0
ACCT 240,202040,40005,Financial Accounting,Thomas Dales,62,60,11,9,6,11,9,4,3,4,0,0,1,2,0
ACCT 240,202040,40001,Financial Accounting,Thomas Dales,58,48,8,7,2,6,6,7,2,2,3,1,1,3,0
ACCT 240,202110,10416,Financial Accounting,Ann Renee Mann,35,30,9,2,4,3,1,1,5,3,0,0,1,1,0
ACCT 240,202110,10001,Financial Accounting,Shuo Li,61,60,30,11,7,3,2,4,1,0,0,0,0,1,1
ACCT 240,202110,10006,Financial Accounting,Thomas Dales,58,54,6,7,7,5,6,7,5,1,1,0,0,6,3
ACCT 240,202110,10005,Financial Accounting,Thomas Dales,59,54,8,11,9,9,8,1,3,0,2,0,0,3,0
ACCT 240,202120,20176,Financial Accounting,Hanmei Chen,20,18,3,1,1,0,0,4,2,2,0,0,0,4,1
ACCT 240,202120,20004,Financial Accounting,Thomas Dales,48,45,4,6,6,7,9,2,2,1,3,0,1,4,0
ACCT 240,202120,20001,Financial Accounting,Thomas Dales,51,46,10,12,8,6,4,2,0,1,1,1,0,1,0
ACCT 240,202120,20399,Financial Accounting,Yamin Hao,57,44,8,6,5,10,8,0,2,1,0,0,0,1,3
ACCT 240,202130,30376,Financial Accounting,Shuo Li,26,25,8,2,2,3,3,1,2,2,2,0,0,0,0
ACCT 240,202140,40008,Financial Accounting,Burak Dolar,60,59,3,9,7,8,8,9,3,1,3,3,2,3,0
